자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
삼광자동차정비공업사,3,경기도 안성시 보개원삼로 48,경기도 안성시 가사동 133-1번지,37.00822409,127.2835689,1998-11-18,264,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
우주자동차정비공업사,3,경기도 안성시 보개원삼로 65,경기도 안성시 가사동 127-1번지,37.00992363,127.2842784,1998-12-19,56,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
상용자동차정비공업사,3,경기도 안성시 장기로 126,경기도 안성시 낙원동 50-2번지,37.00396121,127.2766449,1999-01-19,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
우성자동차정비공업사,3,경기도 안성시 죽산면 죽주로 210,경기도 안성시 죽산면 죽산리 547-3번지,37.07317612,127.4190235,1999-02-10,416,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
쌍용모터스,3,경기도 안성시 안성맞춤대로 1216,경기도 안성시 당왕동 261-1번지,37.02099842,127.2675699,1999-04-10,934,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
근호자동차공업사,3,경기도 안성시 양성면 만세로 639-19,경기도 안성시 양성면 동항리 681-3번지,37.05856104,127.1923783,1999-09-07,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
두원대자동차공업사,3,"경기도 안성시 남파로 101, 207동(당왕동)",경기도 안성시 당왕동 437-2번지 207동,37.01651467,127.2615012,1999-09-17,585,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
제일자동차중기공장  ㈜,1,경기도 안성시 안성맞춤대로 1353,경기도 안성시 사곡동 307-6번지,37.03222172,127.2612403,1999-11-29,2142,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
부산자동차정비공업사,3,경기도 안성시 서동대로 5100,경기도 안성시 당왕동 412번지,37.021976,127.2640657,1999-12-27,360,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
재현자동차정비공업사,3,경기도 안성시 중앙로 322,경기도 안성시 석정동 266-15번지,37.00958587,127.2632347,1999-12-28,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
유일모터스,2,경기도 안성시 안성맞춤대로 1242-5,경기도 안성시 당왕동 303-9번지,37.02374061,127.2665506,2000-04-24,661,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
K모터스,3,경기도 안성시 미양로 956,경기도 안성시 도기동 100-8번지,37.00157126,127.267135,2000-05-18,1,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
대우자동차바로정비,3,경기도 안성시 대덕면 중앙로 45,경기도 안성시 대덕면 건지리 357-1번지,37.01376411,127.2343829,2000-05-24,394,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
큐원모터스,3,경기도 안성시 원곡면 청원로 1851,경기도 안성시 원곡면 내가천리 102-13번지,37.03825857,127.1243813,2000-06-10,643,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
프로모터스,3,경기도 안성시 아양1로 22-5,경기도 안성시 아양동 366-52번지,37.00500589,127.2626512,2000-07-15,166,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
21세기자동차   공업사,3,경기도 안성시 양성면 옥단길 8,경기도 안성시 양성면 동항리 373번지,37.060161,127.1928961,2000-11-06,320,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
창대자동차공업사,3,경기도 안성시 원곡면 산직길 162,경기도 안성시 원곡면 성은리 346-4번지,37.07347364,127.1565332,2001-02-20,660,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
남부자동차 정비공업사,3,경기도 안성시 원곡면 만세로 1445,경기도 안성시 원곡면 외가천리 249-1번지,37.03429169,127.1271643,2001-03-03,613,1,,,,,,,경기도 안성시청,031-678-2804,2024-07-03,4080000,경기도 안성시
