차종,연비,이미지
2020 닛산 아리야,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200716_176%2Fauto_1594861950913QOG5v_PNG%2F20200716101217_rbdbB9Gu.png
2013 타타 나노,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_22%2Fauto_1496048662429EoyQ9_PNG%2F33236_2013__.png
2000 티코,18.1~24.1km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_178%2Fauto_14979401212556uG7r_PNG%2F13554_2000_.png
1991 티코,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_279%2Fauto_1497940117409wSHEO_PNG%2F16691_1991_.png
1991 라보,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200512_205%2Fauto_1589267987573TNrJL_PNG%2F20200512161926_d9RfTqQm.png
1991 다마스,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200512_64%2Fauto_1589267582426ciGnk_PNG%2F20200512161246_oMrrqoZ3.png
1991 엑셀 해치백,13.8~18.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_162%2Fauto_1566912030110SSf6s_PNG%2F20190827222028_TNiWnZP4.png
2002 타우너 트럭,22.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_162%2Fauto_1497940062702fOrXh_PNG%2F13314_2002__.png
2001 타우너 트럭,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_6%2Fauto_1497940029122FITFr_PNG%2F13438_2001__.png
1991 엑셀,13.6~15.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_19%2Fauto_1497940042315fcCal_PNG%2F13678_1991__.png
2001 라보,11.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_230%2Fauto_1497940145592fQ88U_PNG%2F13500_2001_.png
2001 타우너 밴,20.2~22.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_251%2Fauto_1497940070115ixXxo_PNG%2F13443_2001__.png
1998 마티즈,22.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_185%2Fauto_1497940046688JJ1XR_PNG%2F16575_1998_.png
1995 다마스,10.6~25km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_218%2Fauto_1497939942599YpeUW_PNG%2F13521_2001_.png
1999 엑센트,13.6~18.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_144%2Fauto_14979401478622EvmR_PNG%2F13600_1999_.png
2003 비스토,12.7~21.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_89%2Fauto_1497940035442xuUO2_PNG%2F13226_2003_.png
2004 비스토,13.1~16km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_37%2Fauto_1497940120562jKimp_PNG%2F13091_2004_.png
1999 비스토,17.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_95%2Fauto_1497940030310Q0uaJ_PNG%2F17219_1999_.png
1995 엑센트,14.3~18.9km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_40%2Fauto_1497939001759fmXyV_PNG%2F13661_1995_.png
2006 라보,10.7~11.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_97%2Fauto_1497939940154aKEIA_PNG%2F12810_2006_.png
2001 아토스,17.8~21.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_108%2Fauto_1497940118060X1C9X_PNG%2F13464_2001_.png
2003 다마스,22km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_254%2Fauto_1497940126366AI4Y9_PNG%2F13269_2003_.png
2016 타타 티아고,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20171211_157%2Fauto_1512966497523CisXR_PNG%2F20171211132803_BPTv4MkV.png
2005 마티즈,18.1~23.8km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_54%2Fauto_15669131622772k9DY_PNG%2F20190827223920_IeMded95.png
2002 타우너 밴,22.4km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_57%2Fauto_1497940076702ccMPv_PNG%2F13317_2002__.png
1999 라노스,14.4~15.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_56%2Fauto_1497940141972RCoYj_PNG%2F13603_1999_.png
2000 라노스 해치백,13.6~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_185%2Fauto_1497940118988nsiih_PNG%2F13584_2000__.png
2004 베르나 해치백,11.9~15.2km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_192%2Fauto_1497940146776m2yCN_PNG%2F13098_2004__.png
1994 아벨라 델타,정보없음,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_146%2Fauto_1497938881216zp72u_PNG%2F68513_1994__.png
2001 라노스,13.6~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_230%2Fauto_1497940159602HeT51_PNG%2F13509_2001_2_.png
2000 라노스,13.6~16.5km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_242%2Fauto_1497940123997VMEa3_PNG%2F13589_2000__.png
2006 다마스,10.6~11km/ℓ,https://search.pstatic.net/common?type=f&size=298x140&quality=95&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_176%2Fauto_1497939750338rU89R_PNG%2F12817_2006_2.png
